manufacturer,model,year,price,mileage,location,transmission,fuel_type,grade,car_condition,car_age
Toyota,Tacoma,2005,3930000,248415,Asaba,automatic,Petrol,D,Nigerian used,16
Toyota,Camry,2003,1242000,180990,Lagos,automatic,Petrol,D,Nigerian used,18
Mercedes-Benz,C250,2012,5610000,234826,Kaduna,automatic,Petrol,C,Nigerian used,9
Toyota,Tundra,2007,5066800,172632,Lagos,automatic,Petrol,D,Nigerian used,14
Honda,Jazz,2008,1130000,155077,Lagos,manual,Petrol,D,Nigerian used,13
Toyota,Corolla,2004,2754000,98037,Abuja,automatic,Petrol,C,Foreign used,17
Volkswagen,Golf,2005,458000,137217,Ibadan,automatic,Petrol,E,Nigerian used,16
Landrover,Range Rover HSE,2007,3370000,134085,Lagos,automatic,Petrol,D,Nigerian used,14
Mercedes-Benz,CLS 350,2009,3594000,299902,Lagos,automatic,Petrol,C,Foreign used,12
Toyota,Corolla,2010,2474000,90072,PortHarcourt,automatic,Petrol,C,Nigerian used,11
Toyota,Camry,2007,1746000,122569,Lagos,automatic,Petrol,D,Nigerian used,14
Honda,Accord,1998,570000,287886,Ilorin,automatic,Petrol,E,Nigerian used,23
Toyota,Camry,1999,1130000,214617,Lagos,automatic,Petrol,D,Nigerian used,22
Mercedes-Benz,E320,2003,794000,127757,Abuja,automatic,Petrol,C,Nigerian used,18
Lexus,Rx 350,2010,7850000,136674,Onitsha,automatic,Petrol,C,Nigerian used,11
Nissan,Frontier,2008,2474000,107730,Lagos,automatic,Petrol,D,Nigerian used,13
Toyota,Matrix,2006,2810000,114840,Abuja,automatic,Petrol,C,Foreign used,15
Lexus,Rx 330,2004,3930000,66821,Abuja,automatic,Petrol,C,Nigerian used,17
Mercedes-Benz,S350,2008,4490000,165040,Abuja,automatic,Petrol,C,Nigerian used,13
Nissan,Pathfinder,2003,995600,171352,Lagos,automatic,Petrol,D,Nigerian used,18
Mitsubishi,Pajero,2010,3146000,186674,Lagos,automatic,Petrol,C,Nigerian used,11
Toyota,Camry,2007,3370000,105757,Lagos,automatic,Petrol,C,Foreign used,14
Honda,Accord,2008,2026000,165265,Lagos,automatic,Petrol,D,Nigerian used,13
JAC,S3,2019,6730000,9972,Lagos,automatic,Petrol,C,Nigerian used,2
Toyota,4Runner,1995,514000,110716,Lagos,automatic,Petrol,E,Nigerian used,26
Toyota,Sienna,1999,850000,170599,Ibadan,automatic,Petrol,D,Nigerian used,22
Mercedes-Benz,E320,2003,2810000,242208,Ibadan,automatic,Petrol,E,Foreign used,18
Mercedes-Benz,Ml350,2009,4490000,174913,Lagos,automatic,Petrol,E,Nigerian used,12
Landrover,Lr3,2008,2250000,80403,Lagos,automatic,Petrol,C,Nigerian used,13
Toyota,Sienna,1999,1242000,213123,Lagos,automatic,Petrol,D,Nigerian used,22
Honda,Accord,2011,2026000,106043,Lagos,semiautomatic,Hybrid,C,Nigerian used,10
Toyota,Camry,2012,3258000,157246,Lagos,automatic,Petrol,C,Nigerian used,9
Nissan,Xterra,2005,1130000,129322,Kaduna,automatic,Petrol,D,Nigerian used,16
Toyota,Sienna,2004,1242000,286662,Onitsha,automatic,Petrol,D,Nigerian used,17
Ford,Ecosport,2014,1690000,86200,Lagos,automatic,Petrol,C,Nigerian used,7
Toyota,Corolla,2005,1690000,112361,Lagos,automatic,Petrol,C,Nigerian used,16
