manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Toyota,Corolla,,2015,4750000,0,"C45-Express, Lagos",,,,Foreign used
Mercedes-Benz,GLC 300,,2019,20000000,0,"C45-Express, Lagos",,,,Foreign used
Mercedes-Benz,Ml350,,2014,15200000,0,"C45-Express, Lagos",,,,Foreign used
Mercedes-Benz,C300,Sedan,2015,10090000,93916,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Mitsubishi,Outlander,,2017,13500000,0,"C45-Express, Lagos",,,,Foreign used
Lexus,GX460,,2016,18000000,0,"C45-Express, Lagos",,,,Foreign used
Mercedes-Benz,GLE450,,2016,40000000,0,"C45-Express, Lagos",,,,Foreign used
Lexus,IS250,,2017,9000000,0,"C45-Express, Lagos",,,,Foreign used
Honda,Accord,Sedan,1998,682000,330107,C45,automatic,Petrol, ,Nigerian used
Toyota,Tacoma,Pickup,2005,3930000,248415,"C45 , Asaba",automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2003,1242000,180990,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Honda,Pilot,Suv,2010,4938000,98157,C45,semiautomatic,Petrol,C,Foreign used
Land Rover,Range Rover Vogue,Suv,2010,5610000,119,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Mercedes-Benz,C250,Sedan,2012,5610000,234826,"C45 , Kaduna",automatic,Petrol,C,Nigerian used
Toyota,Tundra,Truck,2007,5066800,172632,"C45 , Lagos",automatic,Petrol,D,Nigerian used
CHANGAN,CS35,Suv,2015,10090000,4065,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Honda,Jazz,Hatchback,2008,1130000,155077,"C45 , Lagos",manual,Petrol,D,Nigerian used
Lexus,Es 330,Sedan,2005,2810000,196348,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Toyota,Corolla,Sedan,2004,2754000,98037,"C45 , Abuja",automatic,Petrol,C,Foreign used
