manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Mercedes-Benz,C300,Sedan,2015.0,10090000,93916.0,Lagos,automatic,Petrol,C,Nigerian used
Toyota,Tacoma,Pickup,2005.0,3930000,248415.0,Asaba,automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2003.0,1242000,180990.0,Lagos,automatic,Petrol,D,Nigerian used
Landrover,Range Rover Vogue,Suv,2010.0,5610000,119.0,Abuja,automatic,Petrol,C,Nigerian used
Mercedes-Benz,C250,Sedan,2012.0,5610000,234826.0,Kaduna,automatic,Petrol,C,Nigerian used
Toyota,Tundra,Truck,2007.0,5066800,172632.0,Lagos,automatic,Petrol,D,Nigerian used
CHANGAN,CS35,Suv,2015.0,10090000,4065.0,Lagos,automatic,Petrol,C,Nigerian used
Honda,Jazz,Hatchback,2008.0,1130000,155077.0,Lagos,manual,Petrol,D,Nigerian used
Lexus,ES330,Sedan,2005.0,2810000,196348.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Toyota,Corolla,Sedan,2004.0,2754000,98037.0,Abuja,automatic,Petrol,C,Foreign used
Toyota,Camry,Sedan,2004.0,1522000,127633.0,Lagos,automatic,Petrol, ,Nigerian used
Toyota,Highlander,Suv,2014.0,17930000,73765.0,Lagos,automatic,Hybrid,C,Foreign used
Volkswagen,Golf,Hatchback,2005.0,458000,137217.0,Ibadan,automatic,Petrol,E,Nigerian used
Landrover,Range Rover HSE,Suv,2007.0,3370000,134085.0,Lagos,automatic,Petrol,D,Nigerian used
GAC,GS8,Suv,2018.0,16810000,32156.0,Lagos,automatic,Petrol,D,Nigerian used
Mercedes-Benz,CLS 350,Sedan,2009.0,3594000,299902.0,Lagos,automatic,Petrol,C,Foreign used
Toyota,Corolla,Sedan,2010.0,2474000,90072.0,PortHarcourt,automatic,Petrol,C,Nigerian used
Infiniti,Fx,Suv,2003.0,1746000,275028.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Toyota,Camry,Sedan,2007.0,1746000,122569.0,Lagos,automatic,Petrol,D,Nigerian used
Honda,Accord,Sedan,1998.0,570000,287886.0,Ilorin,automatic,Petrol,E,Nigerian used
Toyota,Camry,Sedan,1999.0,1130000,214617.0,Lagos,automatic,Petrol,D,Nigerian used
Mercedes-Benz,E320,Sedan,2003.0,794000,127757.0,Abuja,automatic,Petrol,C,Nigerian used
Honda,Accord,Sedan,2007.0,1242000,135095.0,Kaduna,automatic,Petrol, ,Nigerian used
