iter	RMSE
0	1513625.372
1	1421465.876
2	1350806.216
3	1277491.789
4	1231972.883
5	1192886.755
6	1166495.221
7	1116639.121
8	1099737.722
9	1085259.085
10	1062706.203
11	1044460.267
12	1036361.727
13	999972.4415
14	989519.5103
15	983863.5543
16	967319.3493
17	959778.4252
18	949285.9044
19	940430.4433
20	930948.4533
21	922690.5511
22	918399.5147
23	911494.2975
24	904819.3167
25	900416.8899
26	898511.3184
27	895818.7558
28	893172.0368
29	888246.0148
30	878271.9532
31	875322.5774
32	870657.8407
33	867623.2186
34	862226.0474
35	858194.7099
36	857609.05
37	853184.7085
38	849653.3622
39	844098.4838
40	835740.0873
41	830545.2938
42	827308.4623
43	823486.8184
44	820367.3842
45	816940.0265
46	811764.0558
47	805494.3128
48	800627.1579
49	798066.4242
50	795986.3664
51	791767.9391
52	789417.5953
53	786217.7322
54	784112.7154
55	781443.056
56	777847.4524
57	772141.3484
58	770212.7669
59	763921.3294
60	762878.2384
61	760660.1003
62	757218.4149
63	754503.3467
64	753642.0806
65	749602.8869
66	747529.4775
67	744266.4773
68	742720.1103
69	739733.7995
70	737304.6785
71	735451.7545
72	733327.6512
73	726983.7461
74	725201.9701
75	721548.8494
76	719025.9436
77	716212.874
78	713927.8155
79	711126.2164
80	709561.9441
81	706564.2886
82	704518.8962
83	702073.4898
84	700077.0656
85	697547.6702
86	693126.7141
87	691360.9099
88	688540.1366
89	687788.3729
90	685932.2239
91	683983.9265
92	681697.3518
93	679182.0568
94	677565.3056
95	675451.8335
96	674334.0563
97	672664.2928
98	671077.7531
99	669787.0493
100	667348.9225
101	664662.967
102	663701.4387
103	663188.8311
104	661370.5394
105	659863.582
106	658826.469
107	656772.1685
108	655393.619
109	653194.9323
110	652618.0423
111	651966.1734
112	650049.083
113	649500.0451
114	648210.6122
115	646430.0122
116	645366.0592
117	644213.7975
118	642389.1608
119	639948.7192
120	638348.5497
121	636355.2504
122	635194.7257
123	634175.7639
124	631496.9656
125	629892.6009
126	628986.1412
127	627690.0738
128	625909.9934
129	624724.6475
130	622906.5994
131	621406.8086
132	620956.1518
133	620170.804
134	617665.5098
135	615906.3265
136	614559.3153
137	613735.3081
138	611953.5205
139	610147.6267
140	609720.6785
141	608580.0969
142	607341.6988
143	606376.89
144	606033.4292
145	605378.4828
146	604085.0645
147	602920.036
148	600726.362
149	598284.2865
150	597241.5263
151	596243.2634
152	595298.5305
153	593174.8413
154	591894.6205
155	591024.2995
156	590214.1759
157	589184.4304
158	588326.8912
159	586876.1788
160	586183.2747
161	584956.2435
162	584357.4171
163	582872.4711
164	582083.7882
165	579718.2104
166	578834.708
167	578063.4655
168	577004.3241
169	576318.3316
170	574850.3664
171	573065.1082
172	572012.5962
173	570857.931
174	570210.0572
175	569156.2792
176	568485.1402
177	566335.1152
178	565412.8216
179	564397.779
180	562887.4091
181	561800.2597
182	560484.5143
183	559382.7142
184	558865.1337
185	558019.6864
186	557583.5383
187	556067.4532
188	555253.6691
189	554437.9772
190	553943.2001
191	553392.2974
192	552553.8812
193	551905.8045
194	550326.8015
195	548387.9137
196	547643.5732
197	546228.2206
198	544858.9209
199	544340.654
200	543699.1036
201	542635.8189
202	541754.8743
203	541189.4355
204	540514.2221
205	539945.5406
206	538588.0818
207	537720.1939
208	536733.0416
209	535896.2021
210	534982.1889
211	534399.8753
212	533812.4703
213	531551.7906
214	530821.2105
215	530081.447
216	529704.4615
217	529336.8326
218	529023.2896
219	528722.0398
220	528135.6916
221	527880.8542
222	527095.0664
223	526041.6135
224	525453.5538
225	524381.891
226	523429.1991
227	522611.4516
228	522199.1598
229	521846.0101
230	520525.7821
231	518659.3045
232	517909.8191
233	517245.5499
234	516757.7979
235	515963.4462
236	515385.7168
237	513903.4848
238	513176.7385
239	512862.4135
240	512244.31
241	510813.7128
242	510239.5454
243	509548.0724
244	509134.0318
245	508771.1569
246	507636.9647
247	506399.2641
248	505841.184
249	504949.5832
250	504372.5643
251	503541.1514
252	502300.2138
253	501552.6448
254	501042.1554
255	500299.8624
256	499825.8442
257	498921.6287
258	497947.9865
259	497122.733
260	496589.457
261	495598.0487
262	495096.8042
263	494613.9243
264	493836.9126
265	493231.7774
266	492921.9326
267	491936.3999
268	491005.9426
269	490541.9208
270	490077.3684
271	489081.6053
272	488004.4905
273	487209.5866
274	486438.76
275	485669.6541
276	484890.4088
277	484532.1698
278	484123.7516
279	483691.0235
280	482714.2718
281	482371.3287
282	481824.2715
283	481163.0753
284	480685.2013
285	479596.2109
286	478384.0528
287	478180.9603
288	477499.5461
289	477280.4276
290	477143.4419
291	477111.7964
292	476031.6455
293	475432.5486
294	474500.4695
295	474476.1174
296	474169.2973
297	473657.256
298	473642.0087
299	473605.1383
