iter	Passed	Remaining
0	4	1490
1	9	1439
2	12	1210
3	17	1309
4	22	1301
5	26	1287
6	31	1308
7	35	1294
8	39	1288
9	45	1323
10	50	1316
11	54	1317
12	60	1335
13	65	1340
14	69	1323
15	73	1297
16	78	1309
17	83	1301
18	87	1292
19	93	1305
20	97	1300
21	102	1297
22	108	1302
23	112	1290
24	117	1294
25	122	1291
26	127	1287
27	131	1282
28	136	1275
29	141	1270
30	146	1270
31	151	1266
32	155	1259
33	160	1252
34	164	1242
35	170	1247
36	174	1237
37	185	1278
38	195	1305
39	202	1316
40	206	1306
41	210	1295
42	216	1296
43	221	1285
44	230	1308
45	236	1304
46	240	1294
47	247	1298
48	251	1289
49	255	1279
50	262	1281
51	266	1271
52	271	1264
53	278	1269
54	282	1260
55	303	1322
56	308	1315
57	312	1302
58	317	1295
59	321	1286
60	326	1279
61	330	1270
62	335	1260
63	340	1254
64	344	1246
65	349	1240
66	355	1237
67	360	1230
68	368	1234
69	375	1232
70	380	1227
71	386	1222
72	390	1215
73	396	1209
74	402	1208
75	407	1201
76	412	1193
77	416	1185
78	420	1177
79	425	1169
80	430	1163
81	434	1154
82	438	1147
83	443	1141
84	447	1132
85	452	1125
86	457	1121
87	462	1114
88	467	1107
89	471	1099
90	476	1095
91	481	1088
92	484	1079
93	490	1075
94	494	1066
95	499	1061
96	504	1055
97	508	1047
98	512	1040
99	518	1036
100	522	1030
101	527	1024
102	531	1017
103	538	1014
104	543	1009
105	550	1007
106	555	1002
107	559	994
108	564	989
109	568	981
110	574	978
111	579	972
112	583	966
113	588	960
114	594	956
115	598	950
116	603	944
117	608	939
118	613	932
119	617	925
120	621	919
121	626	914
122	630	907
123	635	902
124	640	896
125	644	890
126	648	883
127	654	879
128	659	874
129	663	867
130	669	863
131	674	858
132	678	851
133	682	845
134	688	841
135	693	835
136	697	829
137	702	825
138	708	821
139	714	816
140	719	810
141	723	805
142	729	800
143	733	794
144	737	788
145	742	783
146	749	780
147	754	775
148	761	771
149	765	765
150	770	760
151	777	756
152	782	751
153	786	745
154	793	742
155	798	736
156	803	731
157	808	726
158	814	722
159	820	717
160	824	712
161	828	706
162	834	701
163	842	698
164	857	701
165	870	702
166	890	709
167	913	717
168	935	724
169	954	729
170	988	745
171	1004	747
172	1025	752
173	1044	756
174	1077	769
175	1134	799
176	1152	800
177	1191	816
178	1212	819
179	1229	819
180	1253	824
181	1278	829
182	1301	832
183	1318	831
184	1346	836
185	1371	840
186	1387	838
187	1402	835
188	1414	830
189	1427	826
190	1442	822
191	1460	821
192	1480	820
193	1496	817
194	1512	814
195	1532	813
196	1546	808
197	1563	805
198	1577	800
199	1589	794
200	1608	792
201	1621	786
202	1634	780
203	1646	774
204	1662	770
205	1680	766
206	1707	766
207	1721	761
208	1745	759
209	1761	755
210	1776	749
211	1789	742
212	1800	735
213	1813	728
214	1829	723
215	1843	717
216	1856	710
217	1877	706
218	1889	699
219	1900	691
220	1915	684
221	1939	681
222	1966	679
223	1993	676
224	2070	690
225	2118	693
226	2159	694
227	2180	688
228	2207	684
229	2226	677
230	2260	675
231	2277	667
232	2302	662
233	2322	654
234	2340	647
235	2364	641
236	2382	633
237	2391	623
238	2401	612
239	2407	601
240	2412	590
241	2418	579
242	2423	568
243	2429	557
244	2438	547
245	2445	536
246	2451	525
247	2458	515
248	2464	504
249	2475	495
250	2481	484
251	2488	473
252	2494	463
253	2500	452
254	2506	442
255	2512	431
256	2520	421
257	2534	412
258	2541	402
259	2547	391
260	2557	382
261	2564	371
262	2574	362
263	2584	352
264	2594	342
265	2610	333
266	2623	324
267	2635	314
268	2646	304
269	2663	295
270	2671	285
271	2680	275
272	2690	266
273	2697	255
274	2705	245
275	2711	235
276	2723	226
277	2729	216
278	2737	206
279	2744	196
280	2754	186
281	2760	176
282	2769	166
283	2776	156
284	2787	146
285	2799	137
286	2807	127
287	2815	117
288	2823	107
289	2832	97
290	2840	87
291	2846	77
292	2854	68
293	2861	58
294	2872	48
295	2886	39
296	2893	29
297	2901	19
298	2909	9
299	2916	0
